epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,1300.77,0.3902,0.29484,0.94361,0.99757,0.99852,0.995,0.96806,0.23161,0.18249,0.80978,0.0006733,0.0006733,0.0006733
167,1308.64,0.39183,0.29675,0.95277,0.99701,0.99864,0.995,0.97043,0.22261,0.17692,0.80779,0.00067132,0.00067132,0.00067132
168,1316.8,0.40672,0.31313,0.96186,0.99779,0.99864,0.995,0.9704,0.22901,0.18354,0.81082,0.00066934,0.00066934,0.00066934
169,1324.81,0.37986,0.28673,0.94142,0.9977,0.99864,0.995,0.97181,0.23204,0.18223,0.80946,0.00066736,0.00066736,0.00066736
170,1332.58,0.38447,0.29409,0.93519,0.99799,0.99819,0.995,0.97367,0.22348,0.18479,0.80771,0.00066538,0.00066538,0.00066538
171,1340.72,0.40492,0.30552,0.94037,0.9976,0.99864,0.995,0.97059,0.23427,0.18817,0.81196,0.0006634,0.0006634,0.0006634
172,1348.36,0.39264,0.30264,0.95382,0.99792,0.99864,0.995,0.96863,0.23365,0.18151,0.81131,0.00066142,0.00066142,0.00066142
173,1356.3,0.3934,0.29113,0.94668,0.9976,0.99864,0.995,0.96905,0.23192,0.18364,0.81024,0.00065944,0.00065944,0.00065944
174,1364.1,0.38439,0.28196,0.94678,0.99788,0.99864,0.995,0.97245,0.23244,0.17747,0.80954,0.00065746,0.00065746,0.00065746
175,1371.73,0.39106,0.29024,0.9438,0.99784,0.99864,0.995,0.97365,0.2227,0.17626,0.80642,0.00065548,0.00065548,0.00065548
176,1379.44,0.39038,0.2909,0.94827,0.99757,0.99864,0.995,0.97605,0.20931,0.17036,0.80108,0.0006535,0.0006535,0.0006535
177,1387.1,0.38887,0.2906,0.94816,0.99759,0.99864,0.995,0.97753,0.20667,0.17352,0.80277,0.00065152,0.00065152,0.00065152
178,1394.97,0.37036,0.28345,0.94001,0.9975,0.99864,0.995,0.97441,0.22391,0.17558,0.80638,0.00064954,0.00064954,0.00064954
179,1403.12,0.37791,0.27575,0.93909,0.99728,0.99864,0.995,0.97333,0.22342,0.17799,0.81752,0.00064756,0.00064756,0.00064756
180,1411.01,0.38219,0.28783,0.93584,0.99418,0.99864,0.99497,0.97787,0.22244,0.17927,0.80848,0.00064558,0.00064558,0.00064558
181,1418.78,0.37063,0.27404,0.93934,0.99709,0.9983,0.995,0.97387,0.23035,0.18666,0.81159,0.0006436,0.0006436,0.0006436
